epoch,test_kl,test_x,test_mof,test_y,test_loss,lcd-r2,lcd-MAE,pld-r2,pld-MAE,density-r2,density-MAE,agsa-r2,agsa-MAE,co2n2_co2_mol_kg-r2,co2n2_co2_mol_kg-MAE,co2n2_n2_mol_kg-r2,co2n2_n2_mol_kg-MAE,co2ch4_co2_mol_kg-r2,co2ch4_co2_mol_kg-MAE,co2ch4_ch4_mol_kg-r2,co2ch4_ch4_mol_kg-MAE,lr,λ_x,λ_kl,λ_y,λ_mof,train_kl,train_x,train_mof,train_y,train_loss,valid_smiles,mof_acc,mean_r2,train_kl_ratio,train_x_ratio,train_mof_ratio,train_y_ratio,test_kl_ratio,test_x_ratio,test_mof_ratio,test_y_ratio
0,622.0945554879995,0.5673516263755468,13.566175900972807,1.6557278816516583,0.5735725700282134,0.3359871940175211,390.1540222167969,0.5462376113676376,352.24383544921875,0.7303945246919832,323.22882080078125,0.9014143999900434,208.99716186523438,0.8034673041840767,263.1681823730469,0.902496163747371,217.7703857421875,0.9997068947708367,17.8662166595459,0.9986886239184446,34.121437072753906,0.0005705023,1.0,1e-05,0.0,0.0,557.0469567909446,1.062912117941757,13.5219432152541,28.199066353299454,1.0684825883750035,0.0,2.2177115278266553,0.7772990895859893,0.005213439721447654,0.9947865594686777,0.0,0.0,0.010845960703061505,0.9891540426133688,0.0,0.0
1,174.91742134094238,0.38734583957837176,4.710585940342683,0.4377669497178151,0.4730457474405949,0.7408575529718673,244.16799926757812,0.7997217723830514,234.48028564453125,0.9999469498952036,7.3135528564453125,0.9907282145304351,66.18154907226562,0.9964744733284345,37.46966552734375,0.9999864144994657,4.177668571472168,0.9664138129946651,137.80894470214844,0.977696746112683,114.51224517822266,0.0005705023,1.0,0.00019561446666666664,0.01,0.01,222.68940615900567,0.4773215800642303,7.943887282669687,4.8922267685642105,0.6492439875217687,0.0,52.71961356057179,0.9339782420894758,0.06709537593777104,0.7351959960171769,0.12235596224760316,0.07535266960635777,0.07233206993497801,0.8188337844153533,0.099579923629569,0.009254220169747744
2,129.17496233720047,0.29392195048813635,1.6329105656880598,0.39623993520553297,0.38375019196134347,0.8867588382219559,163.87179565429688,0.8844045306104258,179.2925262451172,0.9952268275525287,44.80242156982422,0.999601593156954,15.802835464477539,0.9998237335007588,9.839625358581543,0.9410027327537158,166.6748046875,0.9941946583193616,59.037513732910156,0.9948377024619327,57.295928955078125,0.0005705023,1.0,0.0003812289333333333,0.02,0.02,138.5272111187118,0.3327798743331442,2.850736863668134,3.3103678268673122,0.5088125443354237,0.0,81.92628994687715,0.9619813270722042,0.10379182180228193,0.6540323701488112,0.11205450397814277,0.13012131338825733,0.12832627614723144,0.7659200090191595,0.08510278821450329,0.02065093091838493
3,112.09189224243164,0.2115015065154204,0.29679985774251133,0.3597373389280759,0.2947361688487805,0.9454442761961419,115.42498016357422,0.9438166215439773,126.47047424316406,0.9940074598221669,50.267669677734375,0.9970813062065507,37.95663070678711,0.9985888747520729,24.44536018371582,0.9161063898959019,197.4522705078125,0.9946975074958696,56.723934173583984,0.9978166758775987,38.60857009887695,0.0005705023,1.0,0.0005668434000000001,0.03,0.03,115.21265671152678,0.2436238518407066,0.673954169216285,3.0717825539167096,0.42130348252320726,0.0,97.54537227892011,0.973444888973785,0.15501304110344552,0.578262136314733,0.047990643123570244,0.21873419148018808,0.21557771331326875,0.7175960362840127,0.030210054527931685,0.03661620563908246
4,98.20786908956674,0.16513693572666782,0.10799461169741474,0.3581984197864166,0.2576819411837138,0.983566155298795,65.52163696289062,0.9728727699190582,89.24821472167969,0.9970360640173644,36.255924224853516,0.9845585969268582,84.03153991699219,0.9912804130178487,57.858009338378906,0.9808135691849804,95.88128662109375,0.9863363578825531,89.72958374023438,0.993307646410755,64.40958404541016,0.0005705023,1.0,0.0007524578666666666,0.04,0.04,100.44286996481812,0.18741677240331495,0.1501640924915683,2.9416640479126523,0.386668924666058,0.0,99.26160072394549,0.9862214465822767,0.195461861128037,0.48469571886381924,0.015534125750731662,0.3043082968669577,0.2867771149408167,0.6408556803324211,0.016764017098182322,0.05560318556138783
5,87.87896486429068,0.13864237829469717,0.07236497847434993,0.35099564550014645,0.24224723588961822,0.9760422934569354,77.7085189819336,0.9701271874153482,93.25263214111328,0.9881000075466847,70.04935455322266,0.9893906598148887,69.91447448730469,0.9991077110570338,20.22561264038086,0.9820054112839021,92.46940612792969,0.995740338500712,51.0839958190918,0.9971153970137128,42.68396759033203,0.0005705023,1.0,0.0009380723333333332,0.05,0.05,89.81303436716303,0.1484537256871222,0.07257929537963943,2.842541872980866,0.37846090929699777,0.0,99.40551002966166,0.9872036257611522,0.2226151252161033,0.3922564313521292,0.00958874398870647,0.3755396928920573,0.34030037667272345,0.5723176893455685,0.014936182493187164,0.07244574828917352
6,81.35333185929518,0.11664508566117057,0.04691619189599386,0.35462213995364994,0.23215304931195882,0.9224920676092054,136.43101501464844,0.9524545486703125,116.90697479248047,0.9829872842086907,83.29584503173828,0.9903334064962557,67.41683197021484,0.9996242553345751,14.582045555114746,0.9613303232879385,135.14442443847656,0.9890040653445582,81.08872985839844,0.9995648264505779,19.38600730895996,0.0005705023,1.0,0.0011236868,0.06,0.06,82.01873935890653,0.1220864624069528,0.04967364172733484,2.791984686750975,0.38474933239990694,0.0,99.6252492752166,0.9747238471752643,0.23954135071623592,0.3173142930370484,0.007746390318729014,0.4353979775874954,0.3937732690448895,0.5024490783423963,0.012125498769464687,0.09165215990175213
7,75.83112093118521,0.09950292694310729,0.04296955258513872,0.35661636407558733,0.22675972474882236,0.9657092380433442,92.13236236572266,0.9724939184577103,90.0548324584961,0.9854055085563633,76.93172454833984,0.9952919933098567,47.370750427246094,0.999831818579644,10.152815818786621,0.9812370348270137,95.3378677368164,0.9950723915960552,55.68410110473633,0.9998539677598324,12.977263450622559,0.0005705023,1.0,0.0013093012666666667,0.07,0.07,76.22702658811825,0.10300624337382229,0.041100116836332384,2.768807027391147,0.3995038844117496,0.0,99.54083086152866,0.9868619838912275,0.2498202054105525,0.2578353988359689,0.007201452328253389,0.4851429472400896,0.4378457541255664,0.43880335034506185,0.013264563115392173,0.11008632821786293
8,71.54021380497859,0.08989297258309446,0.042521936586126685,0.3423991999947108,0.22763324887133563,0.9608311547493543,98.4955062866211,0.9582870452322567,110.52272033691406,0.9999788276802263,5.2997894287109375,0.995658391215297,46.54783630371094,0.9996403771874152,14.49038314819336,0.9898103108452664,71.56916046142578,0.9959571811131359,50.776554107666016,0.9995211095084479,19.98136329650879,0.0005705023,1.0,0.0014949157333333332,0.08,0.08,71.43815981820167,0.0886671587160967,0.03663750119098331,2.7378244356873878,0.41741813555679913,0.0,99.5175791396444,0.9874605496914249,0.25584424819050317,0.2124180795303072,0.007021736349257964,0.5247159531361273,0.4698197285034669,0.3949026472574064,0.01494401605985467,0.12033363375250826
9,68.82437460239117,0.07679583687478533,0.031104022977300562,0.3479065539745184,0.22656822534134755,0.9539083942512631,105.4220962524414,0.9530989959514219,115.60739135742188,0.9797007038250626,90.41178894042969,0.9916941573985958,61.678245544433594,0.9983334775469681,26.31353187561035,0.9848245680776438,84.86027526855469,0.99664779631838,45.3514518737793,0.9981529138747183,34.40171813964844,0.0005705023,1.0,0.0016805301999999998,0.09,0.09,67.56855624008482,0.07800503356075514,0.034196540434728466,2.7263694653552775,0.4400069797759788,0.0,99.65373787139913,0.9820451259055067,0.258066359287467,0.17728135494684635,0.0069946359503035805,0.5576576353559257,0.5104927658817819,0.3389523696850464,0.012355492760467771,0.13819938700818543
